id_venda,data,mes,trimestre,cliente,tipo_cliente,tempo_relacionamento_meses,faixa_renda,segmento,produto,categoria,marca,linha_produto,quantidade,preco_unitario,desconto,receita,custo_unitario,lucro,regiao,cidade,canal_venda,vendedor,meta_venda,atingiu_meta,prazo_entrega_dias,status_entrega
35,2024-12-08,12,4,Cliente_118,Recorrente,46,Alta,Atacado,Mouse,Periféricos,Gamma,Econômico,8,3806.94,0.2,24364.416,2272.02,6188.256000000001,Centro-Oeste,Goiânia,Online,Vendedor_13,34968.51,Não,2,No prazo
36,2024-03-22,3,1,Cliente_022,Novo,2,Baixa,Atacado,Mouse,Periféricos,Gamma,Premium,2,1944.98,0.14,3345.3656,1002.07,1341.2256,Norte,Manaus,Loja,Vendedor_02,3992.56,Não,9,Atrasado
37,2024-08-06,8,3,Cliente_138,Recorrente,18,Baixa,Atacado,Tablet,Informática,Gamma,Econômico,9,628.5,0.07,5260.545,473.37,1000.215,Sudeste,Rio de Janeiro,Loja,Vendedor_03,6601.51,Não,6,No prazo
38,2024-06-27,6,2,Cliente_005,Novo,4,Média,Varejo,Teclado,Periféricos,Alpha,Premium,6,1803.37,0.18,8872.5804,1296.43,1094.0004000000008,Nordeste,Recife,Loja,Vendedor_03,12119.45,Não,9,Atrasado
39,2024-06-09,6,2,Cliente_142,Novo,2,Média,Atacado,Monitor,Informática,Alpha,Padrão,11,3550.49,0.16,32806.5276,2602.93,4174.297600000002,Norte,Belém,Loja,Vendedor_20,46693.29,Não,7,No prazo
40,2024-04-12,4,2,Cliente_013,Novo,1,Média,Varejo,Tablet,Informática,Alpha,Premium,4,2316.37,0.09,8431.5868,1315.4,3169.9867999999988,Nordeste,Salvador,Online,Vendedor_10,9903.79,Não,5,No prazo
41,2024-12-01,12,4,Cliente_005,Recorrente,4,Média,Atacado,Teclado,Periféricos,Beta,Padrão,9,4174.82,0.04,36070.4448,2808.45,10794.394799999998,Sudeste,São Paulo,Online,Vendedor_01,38583.73,Não,7,No prazo
42,2024-12-09,12,4,Cliente_169,Recorrente,6,Baixa,Atacado,Notebook,Informática,Beta,Premium,5,3627.07,0.05,17228.5825,2135.09,6553.1325,Sudeste,São Paulo,Loja,Vendedor_18,20873.37,Não,11,Atrasado
43,2024-11-26,11,4,Cliente_181,Recorrente,5,Baixa,Varejo,Headset,Periféricos,Gamma,Premium,6,5592.24,0.17,27849.3552,3455.05,7119.055199999999,Nordeste,Salvador,Loja,Vendedor_12,37560.61,Não,9,Atrasado
44,2024-11-26,11,4,Cliente_015,Recorrente,9,Baixa,Varejo,Notebook,Informática,Beta,Econômico,8,628.08,0.04,4823.6544,340.69,2098.1344000000004,Norte,Belém,Loja,Vendedor_17,4601.7,Sim,1,No prazo
45,2024-02-01,2,1,Cliente_041,Recorrente,49,Baixa,Atacado,Teclado,Periféricos,Beta,Premium,5,5694.7,0.13,24771.945,3055.3,9495.445,Centro-Oeste,Goiânia,Loja,Vendedor_01,27460.88,Não,11,Atrasado
46,2024-01-01,1,1,Cliente_080,Novo,0,Baixa,Varejo,Teclado,Periféricos,Gamma,Padrão,7,5633.76,0.0,39436.32,3875.38,12308.66,Sul,Porto Alegre,Loja,Vendedor_06,45588.47,Não,8,Atrasado
47,2024-12-10,12,4,Cliente_168,Recorrente,23,Alta,Varejo,Notebook,Informática,Gamma,Padrão,7,5823.33,0.11,36279.3459,4114.44,7478.265900000002,Norte,Belém,Online,Vendedor_17,47314.69,Não,4,No prazo
48,2024-04-03,4,2,Cliente_011,Recorrente,40,Alta,Atacado,Notebook,Informática,Alpha,Padrão,9,5355.89,0.12,42418.6488,2969.03,15697.378800000002,Norte,Manaus,Online,Vendedor_10,50100.0,Não,11,Atrasado
49,2024-04-28,4,2,Cliente_185,Recorrente,57,Média,Atacado,Teclado,Periféricos,Beta,Econômico,11,2455.44,0.01,26739.7416,1482.66,10430.4816,Sul,Curitiba,Online,Vendedor_10,29838.18,Não,4,No prazo
50,2024-10-31,10,4,Cliente_193,Novo,0,Alta,Varejo,Tablet,Outros,Alpha,Premium,1,3220.28,0.03,3123.6716,2491.52,632.1516000000001,Sul,Porto Alegre,Online,Vendedor_03,3077.66,Sim,12,Atrasado
51,2024-11-17,11,4,Cliente_143,Recorrente,22,Média,Varejo,Notebook,Informática,Alpha,Econômico,1,387.58,0.0,387.58,321.99,65.58999999999997,Centro-Oeste,Goiânia,Online,Vendedor_18,368.09,Sim,2,No prazo
52,2024-06-14,6,2,Cliente_129,Novo,1,Alta,Varejo,Monitor,Informática,Delta,Padrão,10,5720.29,0.16,48050.436,3972.7,8323.436000000002,Norte,Belém,Online,Vendedor_16,53369.07,Não,14,Atrasado
53,2024-06-12,6,2,Cliente_167,Novo,1,Alta,Atacado,Teclado,Periféricos,Alpha,Padrão,7,5490.41,0.14,33052.2682,3086.53,11446.558199999996,Nordeste,Salvador,Loja,Vendedor_13,43129.14,Não,1,No prazo
54,2024-09-15,9,3,Cliente_154,Novo,2,Baixa,Varejo,Smartphone,Telefonia,Delta,Premium,1,3114.28,0.18,2553.7096,2544.76,8.949599999999919,Centro-Oeste,Goiânia,Loja,Vendedor_09,3197.28,Não,14,Atrasado
55,2024-12-14,12,4,Cliente_173,Recorrente,58,Média,Varejo,Teclado,Periféricos,Beta,Econômico,10,1032.09,0.2,8256.72,819.08,65.91999999999916,Sudeste,São Paulo,Online,Vendedor_16,10081.9,Não,2,No prazo
56,2024-02-17,2,1,Cliente_052,Novo,3,Alta,Atacado,Teclado,Periféricos,Gamma,Padrão,1,951.6,0.1,856.44,681.12,175.32000000000005,Sudeste,Rio de Janeiro,Online,Vendedor_16,1063.42,Não,9,Atrasado
57,2024-05-30,5,2,Cliente_054,Recorrente,53,Média,Varejo,Notebook,Informática,Gamma,Padrão,8,1326.91,0.25,7961.460000000001,1003.18,-63.979999999998654,Norte,Belém,Online,Vendedor_19,10822.42,Não,14,Atrasado
58,2024-12-09,12,4,Cliente_155,Recorrente,39,Baixa,Atacado,Smartphone,Telefonia,Beta,Premium,8,2906.12,0.25,17436.72,1761.92,3341.3600000000006,Sul,Porto Alegre,Online,Vendedor_12,27633.27,Não,12,Atrasado
59,2024-01-18,1,1,Cliente_126,Novo,4,Baixa,Atacado,Monitor,Informática,Delta,Padrão,9,657.93,0.25,4441.0275,588.87,-858.8024999999998,Sudeste,São Paulo,Loja,Vendedor_10,6599.2,Não,10,Atrasado
60,2024-09-05,9,3,Cliente_001,Novo,0,Baixa,Atacado,Tablet,Informática,Delta,Padrão,6,1687.211264367816,0.13,8807.2428,1486.45,-111.45720000000074,Sudeste,Rio de Janeiro,Loja,Vendedor_13,9286.92,Não,9,Atrasado
61,2024-07-01,7,3,Cliente_017,Recorrente,12,Média,Atacado,Smartphone,Telefonia,Beta,Premium,6,5916.4,0.16,29818.655999999995,3163.34,10838.615999999996,Norte,Belém,Loja,Vendedor_19,37315.61,Não,1,No prazo
62,2024-08-07,8,3,Cliente_014,Recorrente,41,Baixa,Atacado,Smartphone,Telefonia,Gamma,Padrão,8,3377.33,0.16,22695.6576,2980.46,-1148.0224000000017,Centro-Oeste,Goiânia,Online,Vendedor_08,26596.33,Não,8,Atrasado
63,2024-05-29,5,2,Cliente_008,Recorrente,45,Média,Atacado,Teclado,Periféricos,Delta,Premium,10,5286.54,0.04,50750.784,4754.05,3210.284,Centro-Oeste,Goiânia,Online,Vendedor_03,62191.58,Não,2,No prazo
64,2024-11-07,11,4,Cliente_013,Recorrente,47,Média,Varejo,Notebook,Informática,Delta,Padrão,2,5667.14,0.24,8614.052800000001,4924.38,-1234.707199999999,Sul,Curitiba,Online,Vendedor_16,13315.57,Não,9,Atrasado
65,2024-11-03,11,4,Cliente_168,Recorrente,19,Média,Varejo,Headset,Periféricos,Gamma,Padrão,7,1978.34,0.24,10524.7688,1352.09,1060.1388000000006,Centro-Oeste,Brasília,Loja,Vendedor_16,13928.81,Não,6,No prazo
66,2024-12-22,12,4,Cliente_128,Novo,0,Alta,Varejo,Headset,Periféricos,Alpha,Econômico,1,5437.18,0.03,5274.0646,4507.09,766.9745999999996,Nordeste,Salvador,Loja,Vendedor_11,5500.16,Não,6,No prazo
67,2024-02-22,2,1,Cliente_045,Novo,2,Baixa,Atacado,Impressora,Informática,Delta,Econômico,7,3742.58,0.17,21744.3898,2249.57,5997.399799999996,Sul,Curitiba,Online,Vendedor_11,24358.41,Não,8,Atrasado
68,2024-09-29,9,3,Cliente_106,Novo,5,Alta,Atacado,Monitor,Informática,Gamma,Padrão,8,2523.48,0.1,18169.056,1913.94,2857.536,Sul,Curitiba,Loja,Vendedor_17,19404.63,Não,3,No prazo
69,2024-10-07,10,4,Cliente_148,Recorrente,1,Média,Atacado,Monitor,Informática,Delta,Padrão,8,4207.73,0.18,27602.7088,2795.66,5237.4288000000015,Centro-Oeste,Goiânia,Online,Vendedor_17,35610.14,Não,12,Atrasado
70,2024-03-26,3,1,Cliente_115,Recorrente,26,Alta,Atacado,Monitor,Informática,Alpha,Padrão,11,5144.35,0.05,53758.4575,4357.16,5829.697500000009,Nordeste,Recife,Loja,Vendedor_01,52438.38,Sim,6,No prazo
71,2024-07-13,7,3,Cliente_101,Novo,3,Baixa,Atacado,Tablet,Informática,Alpha,Padrão,1,519.19,0.2,415.3520000000001,308.2,107.1520000000001,Sudeste,Rio de Janeiro,Loja,Vendedor_08,576.07,Não,5,No prazo
72,2024-07-07,7,3,Cliente_142,Recorrente,42,Baixa,Varejo,Smartphone,Telefonia,Beta,Econômico,9,1050.78,0.02,9267.8796,534.46,4457.7396,Nordeste,Salvador,Online,Vendedor_05,8683.37,Sim,3,No prazo
73,2024-09-12,9,3,Cliente_163,Recorrente,36,Alta,Atacado,Monitor,Informática,Alpha,Premium,10,5623.5,0.2,44988.0,3076.78,14220.199999999995,Centro-Oeste,Goiânia,Online,Vendedor_04,58482.34,Não,5,No prazo
74,2024-09-21,9,3,Cliente_058,Recorrente,22,Média,Varejo,Smartphone,Telefonia,Gamma,Premium,9,3824.97,0.2,27539.784,2193.35,7799.634000000002,Sul,Curitiba,Online,Vendedor_18,39260.19,Não,11,Atrasado
75,2024-02-01,2,1,Cliente_061,Recorrente,37,Alta,Varejo,Teclado,Periféricos,Delta,Padrão,10,5810.09,0.03,56357.873,3754.76,18810.272999999997,Centro-Oeste,Goiânia,Online,Vendedor_14,68221.81,Não,14,Atrasado
76,2024-07-10,7,3,Cliente_066,Recorrente,18,Baixa,Varejo,Teclado,Periféricos,Alpha,Econômico,3,2913.9,0.0,8741.7,2509.06,1214.5200000000004,Nordeste,Recife,Loja,Vendedor_12,9438.32,Não,12,Atrasado
77,2024-09-18,9,3,Cliente_102,Recorrente,50,Média,Varejo,Monitor,Informática,Delta,Econômico,7,2817.9709090909087,0.12,17358.7008,1868.81,4277.030799999999,Centro-Oeste,Brasília,Online,Vendedor_10,21248.06,Não,5,No prazo
78,2024-12-18,12,4,Cliente_120,Novo,0,Baixa,Varejo,Smartphone,Telefonia,Beta,Padrão,3,4491.94,0.08,12397.7544,3004.77,3383.4444000000003,Nordeste,Recife,Loja,Vendedor_10,12647.46,Não,11,Atrasado
79,2024-05-27,5,2,Cliente_171,Recorrente,19,Média,Varejo,Smartphone,Telefonia,Delta,Premium,1,3666.53,0.08,3373.2076,2423.82,949.3876,Nordeste,Salvador,Online,Vendedor_13,3777.24,Não,10,Atrasado
80,2024-09-28,9,3,Cliente_182,Recorrente,43,Baixa,Varejo,Notebook,Informática,Beta,Econômico,1,2637.12,0.14,2267.9232,1936.04,331.88319999999976,Sul,Curitiba,Online,Vendedor_13,2554.74,Não,4,No prazo
81,2024-03-29,3,1,Cliente_049,Novo,0,Média,Varejo,Impressora,Informática,Gamma,Premium,11,2260.98,0.07,23129.8254,1808.73,3233.795399999999,Norte,Manaus,Loja,Vendedor_02,27625.24,Não,6,No prazo
82,2024-09-15,9,3,Cliente_001,Novo,1,Baixa,Varejo,Teclado,Periféricos,Delta,Padrão,11,2745.91,0.19,24466.0581,2305.02,-889.1618999999992,Centro-Oeste,Brasília,Loja,Vendedor_03,27893.73,Não,3,No prazo
83,2024-10-28,10,4,Cliente_197,Recorrente,45,Média,Atacado,Mouse,Periféricos,Delta,Econômico,3,4445.95,0.21,10536.9015,3499.76,37.62149999999929,Sul,Curitiba,Loja,Vendedor_03,13096.17,Não,1,No prazo
84,2024-10-30,10,4,Cliente_094,Novo,2,Média,Atacado,Notebook,Informática,Delta,Econômico,6,5612.57,0.02,33001.9116,4563.39,5621.571599999996,Centro-Oeste,Brasília,Online,Vendedor_14,31605.9,Sim,12,Atrasado
85,2024-05-01,5,2,Cliente_016,Recorrente,52,Baixa,Atacado,Monitor,Informática,Delta,Econômico,8,4016.53,0.01,31810.9176,3285.53,5526.677599999999,Sudeste,São Paulo,Online,Vendedor_03,30476.07,Sim,1,No prazo
86,2024-01-03,1,1,Cliente_184,Recorrente,32,Alta,Atacado,Mouse,Periféricos,Gamma,Padrão,2,1313.58,0.03,2548.3452,810.28,927.7851999999998,Centro-Oeste,Goiânia,Loja,Vendedor_10,2584.59,Não,2,No prazo
87,2024-02-01,2,1,Cliente_120,Recorrente,8,Alta,Atacado,Notebook,Informática,Alpha,Econômico,10,998.75,0.18,8189.750000000001,781.11,378.65000000000055,Nordeste,Salvador,Loja,Vendedor_14,9382.79,Não,12,Atrasado
88,2024-08-26,8,3,Cliente_198,Recorrente,1,Alta,Varejo,Impressora,Informática,Beta,Padrão,6,5169.77,0.11,27606.5718,3214.6,8318.971800000003,Nordeste,Salvador,Online,Vendedor_11,30201.4,Não,1,No prazo
89,2024-07-11,7,3,Cliente_193,Novo,3,Média,Varejo,Mouse,Periféricos,Delta,Padrão,8,4219.23,0.11,30040.9176,3555.43,1597.4775999999983,Sul,Curitiba,Online,Vendedor_14,33558.31,Não,3,No prazo
90,2024-01-29,1,1,Cliente_027,Novo,4,Média,Varejo,Smartphone,Telefonia,Alpha,Padrão,7,5757.33,0.01,39898.2969,3228.95,17295.646899999996,Sul,Porto Alegre,Loja,Vendedor_20,41536.2,Não,5,No prazo
91,2024-01-17,1,1,Cliente_060,Recorrente,18,Baixa,Varejo,Smartphone,Telefonia,Beta,Econômico,2,1640.06,0.02,3214.5176,1199.6,815.3175999999999,Sudeste,Rio de Janeiro,Loja,Vendedor_15,3304.26,Não,8,Atrasado
92,2024-03-14,3,1,Cliente_066,Recorrente,58,Média,Atacado,Monitor,Informática,Alpha,Padrão,3,1965.6,0.24,4481.567999999999,1636.61,-428.2620000000006,Centro-Oeste,Brasília,Online,Vendedor_15,6162.46,Não,1,No prazo
93,2024-08-06,8,3,Cliente_049,Recorrente,58,Alta,Atacado,Monitor,Informática,Beta,Econômico,10,401.41,0.24,3050.7160000000003,212.59,924.8160000000004,Nordeste,Salvador,Online,Vendedor_13,4204.91,Não,4,No prazo
94,2024-01-12,1,1,Cliente_119,Novo,0,Alta,Varejo,Teclado,Periféricos,Beta,Premium,6,3186.51,0.19,15486.4386,2587.24,-37.001399999997375,Sul,Curitiba,Online,Vendedor_01,18090.05,Não,12,Atrasado
95,2024-05-02,5,2,Cliente_031,Recorrente,50,Baixa,Varejo,Impressora,Informática,Beta,Padrão,2,3842.04,0.21,6070.4232,2268.24,1533.9432000000006,Centro-Oeste,Goiânia,Online,Vendedor_20,7543.9,Não,10,Atrasado
96,2024-04-16,4,2,Cliente_067,Recorrente,46,Alta,Varejo,Monitor,Informática,Alpha,Padrão,11,4423.96,0.1,43797.204,3760.96,2426.644,Sul,Curitiba,Online,Vendedor_20,53296.32,Não,9,Atrasado
97,2024-03-19,3,1,Cliente_053,Novo,1,Baixa,Atacado,Mouse,Periféricos,Beta,Econômico,9,2406.4887640449438,0.11,19275.975,1548.95,5335.424999999997,Centro-Oeste,Brasília,Online,Vendedor_20,25035.34,Não,11,Atrasado
98,2024-02-19,2,1,Cliente_080,Novo,5,Alta,Varejo,Monitor,Informática,Alpha,Padrão,2,4460.72,0.15,7583.224,3517.65,547.924,Sudeste,Rio de Janeiro,Online,Vendedor_02,9514.28,Não,12,Atrasado
99,2024-03-03,3,1,Cliente_141,Recorrente,17,Alta,Varejo,Impressora,Informática,Delta,Econômico,1,84.09,0.14,72.3174,75.43,-3.1126000000000005,Sudeste,São Paulo,Online,Vendedor_06,95.87,Não,11,Atrasado
100,2024-04-22,4,2,Cliente_080,Recorrente,6,Baixa,Atacado,Headset,Periféricos,Gamma,Padrão,4,3472.94,0.22,10835.5728,2079.87,2516.0928000000004,Centro-Oeste,Brasília,Loja,Vendedor_14,14236.13,Não,5,No prazo
101,2024-07-29,7,3,Cliente_002,Recorrente,34,Baixa,Atacado,Notebook,Informática,Gamma,Premium,11,787.67,0.03,8404.4389,592.11,1891.2288999999992,Nordeste,Recife,Online,Vendedor_14,10343.08,Não,4,No prazo
102,2024-11-17,11,4,Cliente_034,Recorrente,14,Média,Varejo,Smartphone,Telefonia,Alpha,Padrão,2,2716.8923076923083,0.155,4591.548000000001,1666.65,1258.2480000000005,Sul,Porto Alegre,Online,Vendedor_18,5749.46,Não,7,No prazo
103,2024-11-15,11,4,Cliente_090,Novo,2,Baixa,Atacado,Tablet,Informática,Delta,Econômico,5,2113.07,0.04,10142.736,1386.38,3210.836,Sul,Porto Alegre,Online,Vendedor_17,10777.44,Não,13,Atrasado
104,2024-06-10,6,2,Cliente_033,Novo,1,Média,Varejo,Tablet,Informática,Alpha,Econômico,9,4942.78,0.06,41815.91879999999,2926.48,15477.598799999992,Sudeste,Rio de Janeiro,Loja,Vendedor_11,47508.49,Não,7,No prazo
105,2024-08-11,8,3,Cliente_104,Novo,5,Alta,Varejo,Notebook,Outros,Delta,Econômico,10,1458.32,0.14,12541.552,1226.89,272.6519999999982,Sul,Curitiba,Loja,Vendedor_06,16525.35,Não,11,Atrasado
106,2024-07-02,7,3,Cliente_032,Recorrente,29,Média,Varejo,Monitor,Informática,Alpha,Padrão,10,2085.2,0.22,16264.56,1091.98,5344.760000000002,Sul,Curitiba,Online,Vendedor_07,20792.5,Não,1,No prazo
107,2024-11-12,11,4,Cliente_117,Recorrente,46,Alta,Atacado,Notebook,Informática,Alpha,Premium,6,2376.9,0.1,12835.260000000002,1324.09,4890.720000000003,Centro-Oeste,Goiânia,Loja,Vendedor_10,14125.07,Não,5,No prazo
108,2024-03-12,3,1,Cliente_006,Recorrente,23,Baixa,Varejo,Monitor,Informática,Delta,Padrão,5,418.29,0.13,1819.5615000000005,374.74,-54.138499999999794,Centro-Oeste,Brasília,Loja,Vendedor_15,2405.45,Não,14,Atrasado
109,2024-03-03,3,1,Cliente_028,Recorrente,57,Média,Varejo,Monitor,Outros,Delta,Premium,9,1986.03,0.06,16801.8138,1737.5,1164.3138,Sudeste,São Paulo,Online,Vendedor_12,16520.81,Sim,8,Atrasado
110,2024-07-10,7,3,Cliente_034,Novo,0,Alta,Varejo,Headset,Periféricos,Gamma,Econômico,9,2715.92,0.13,21265.6536,2071.18,2625.033599999999,Sudeste,São Paulo,Loja,Vendedor_17,27028.1,Não,11,Atrasado
